category,command,type,description,permissions,entrypoint,implementation,options_or_args,status,notes
Quản lý thành viên/role,/pickrole,slash,"Chọn role cho bản thân (DPS, Healer, Tanker)",Role Quản Lý,src/functions/handlers/handleCommands.js,src/commands/quanly/pickrole.js,"role, dpstype",active,Được loader slash cấp thư mục trực tiếp đăng ký.
Thông báo/Boss/Lịch,/huythongbao,slash,Hủy thông báo,Không thấy kiểm tra rõ trong nhánh quét,src/functions/handlers/handleCommands.js,src/commands/thongbao/huythongbao.js,so_thu_tu,active,Được loader slash cấp thư mục trực tiếp đăng ký.
Thông báo/Boss/Lịch,/listthongbao,slash,Xem danh sách thông báo của server,Không thấy kiểm tra rõ trong nhánh quét,src/functions/handlers/handleCommands.js,src/commands/thongbao/listthongbao.js,(không có option),active,Được loader slash cấp thư mục trực tiếp đăng ký.
Thông báo/Boss/Lịch,/rolethongbao,slash,Đặt role yêu cầu để sử dụng các lệnh thông báo (Chỉ Owner),Owner/whitelist,src/functions/handlers/handleCommands.js,src/commands/thongbao/rolethongbao.js,role,active,Được loader slash cấp thư mục trực tiếp đăng ký.
Thông báo/Boss/Lịch,/suathongbao,slash,Sửa thông báo định kỳ,Không thấy kiểm tra rõ trong nhánh quét,src/functions/handlers/handleCommands.js,src/commands/thongbao/suathongbao.js,"so_thu_tu, tieu_de, noi_dung, thoi_gian, thu",active,Được loader slash cấp thư mục trực tiếp đăng ký.
Thông báo/Boss/Lịch,/thongbao,slash,Đặt thông báo lặp lại hàng tuần,Role LangGia/điều kiện guild,src/functions/handlers/handleCommands.js,src/commands/thongbao/thongbao.js,"tieu_de, noi_dung, thoi_gian, thu, hinh_anh",active,Được loader slash cấp thư mục trực tiếp đăng ký.
Thông báo/Boss/Lịch,/thongbao1lan,slash,Đặt thông báo một lần vào ngày giờ cụ thể,Không thấy kiểm tra rõ trong nhánh quét,src/functions/handlers/handleCommands.js,src/commands/thongbao/thongbao1lan.js,"tieu_de, noi_dung, thoi_gian, ngay, hinh_anh",active,Được loader slash cấp thư mục trực tiếp đăng ký.
Thông báo/Boss/Lịch,/thongbaoguild,slash,Đặt thông báo nhiệm vụ Guild,Role LangGia/điều kiện guild,src/functions/handlers/handleCommands.js,src/commands/thongbao/thongbaoguild.js,"loai_nhiem_vu, thoi_gian, thu, anh",active,Được loader slash cấp thư mục trực tiếp đăng ký.
Thông báo/Boss/Lịch,/xoahetthongbao,slash,Xóa tất cả thông báo của server,Không thấy kiểm tra rõ trong nhánh quét,src/functions/handlers/handleCommands.js,src/commands/thongbao/xoahetthongbao.js,(không có option),active,Được loader slash cấp thư mục trực tiếp đăng ký.
Admin/Hệ thống,?muteall,prefix,MUTE CHECK (Đặt ở đây để chặn TẤT CẢ lệnh trừ muteall) | ?muteall - Block/unblock ALL commands in channel (luôn cho phép để có thể unmute),Owner/whitelist,src/events/client/messageCreate.js:764,src/commands/admin/muteall.js,MUTE CHECK (Đặt ở đây để chặn TẤT CẢ lệnh trừ muteall) | ?muteall - Block/unblock ALL commands in channel (luôn cho phép để có thể unmute),active,
